// Detail txtures for catacombs
// Detail texture project for Cold Ice Remastered
// Napoleon was here at some undisclosed time, 2022

// [texture name]	[detail texture name]		[hscale]	[vscale]

!c2a53				detail/!WATERBLUE 			1.0			1.0               
+0~fifties_lgt2		detail/+0~fifts_lght3		1.0			1.0      
+0~tnnl_lgt4   		detail/+0~tnnl_lgt2			1.0			1.0   
+0~white            detail/crystallized1 		1.0			1.0
+a~fifties_lgt2		detail/+0~fifts_lght3		1.0			1.0      
+a~tnnl_lgt4   		detail/+0~tnnl_lgt2			1.0			1.0         
-0c2a4e_w1          detail/-0c2a4e_w1			1.0			1.0 
-0out_rk4   		detail/out_rk4				1.0			1.0
-0silo2_p2          detail/silo2_p2				1.0			1.0 
-0tnnl_flr1         detail/-0tnnl_flr1			1.0			1.0 
-1c2a4e_w1          detail/-0c2a4e_w1			1.0			1.0
-1out_rk4           detail/out_rk4				1.0			1.0 
-1silo2_p2   		detail/silo2_p2				1.0			1.0
-1tnnl_flr1         detail/-0tnnl_flr1			1.0			1.0 
-2out_rk4           detail/out_rk4				1.0			1.0 
-2silo2_p2          detail/silo2_p2				1.0			1.0 
-2tnnl_flr1         detail/-0tnnl_flr1			1.0			1.0
-3out_rk4   		detail/out_rk4				1.0			1.0
-3silo2_p2          detail/silo2_p2				1.0			1.0 
-3tnnl_flr1         detail/-0tnnl_flr1			1.0			1.0
babtech_bordl9     	detail/babtech_bordl9		1.0			1.0  
babtech_ceil01      detail/babtech_ceil01		1.0			1.0  
babtech_dr4   		detail/babtech_dr4			1.0			1.0
c1a1c_w2            detail/c1a1c_w2				1.0			1.0
c1a1_flr1           detail/c1a1_flr1			1.0			1.0            
c1a1_flr2a          detail/c1a1_flr2a			1.0			1.0
c1a4b_w1            detail/c1a4b_w1				1.0			1.0 
c1a4b_w3   			detail/c1a4b_w3				1.0			1.0
c1a4i_w1b           detail/C1A4B_W3B 			1.0 		1.0 
c1a4_c1c            detail/c1a4_c1c				1.0			1.0 
c1a4_silo5          detail/c1a4_silo5			1.0			1.0
c2a1_w1            	detail/c2a4e_w1				1.0			1.0              
c2a2_dr   			detail/c2a2_sd				1.0			1.0
c2a3_gar3           detail/c2a3_gar3			1.0			1.0 
c2a4e_w1b           detail/c2a4e_w1b			1.0			1.0 
c2a5_intk           detail/c2a5_intk			1.0			1.0 
c3a1_w3a            detail/c3a1_w3a				1.0			1.0 
c3a1_w3b   			detail/c3a1_w3b				1.0			1.0
c3a1_w5b            detail/c3a1_w5b				1.0			1.0 
c3a1_w5d            detail/c3a1_w5d				1.0			1.0 
c3a2a_brd1          detail/c3a2a_brd1			1.0			1.0 
cir_barrel01        detail/dt_metal1 			1.0			1.0  
cir_brick07   		detail/crete3_wall01		1.0			1.0
cir_cliff02         detail/snow2  				1.0 		1.0 
cir_crate01         detail/crate21d 			1.0			1.0  
cir_crate02         detail/crate21d				1.0			1.0   
cir_crate13        	detail/crate02				1.0			1.0  
cir_door01   		detail/dt_metal1 			1.0			1.0 
cir_floor03         detail/c1a1_flr2b			1.0			1.0 
cir_ice01           detail/snow2  				1.0 		1.0 
cir_metal01         detail/tnnl_flr12			1.0			1.0
cir_mount03         detail/cir_rock16			1.0			1.0 
cir_outdoor01   	detail/c2a2_sd				1.0			1.0
cir_pipe01          detail/dt_metal1 			1.0			1.0
cir_pipe03          detail/dt_metal1 			1.0			1.0 
cir_rock03          detail/cir_rocks08			1.0			1.0
cir_rocks07         detail/cir_rocks08			1.0			1.0
cir_snow01          detail/snow2  				1.0 		1.0    
cir_snow03          detail/snow2  				1.0 		1.0            
cir_stone01         detail/cir_stone01			1.0 		1.0
cir_wall01       	detail/cir_wall09			1.0			1.0           
cir_wall04			detail/cir_wall10			1.0			1.0           
cir_wall05   		detail/cir_wall10			1.0			1.0
crate03             detail/crate03_stalkyard	1.0			1.0 
crate06            	detail/crate06				1.0			1.0  
crate09      		detail/crate09				1.0			1.0        
crate09b            detail/crate09b				1.0			1.0  
crate09c   			detail/crate09c 			1.0			1.0  
crete1_wall01       detail/crete1_wall01		1.0			1.0  
crete2_flr02        detail/crete2_flr01			1.0			1.0 
crete2_flr03c       detail/crete2_flr03c		1.0			1.0 
crete3_ceil01       detail/crete3_ceil01		1.0			1.0 
crete3_flr04   		detail/crete3_flr04			1.0			1.0
crete3_wall01       detail/crete3_wall01		1.0			1.0  
crete3_wall02       detail/crete3_wall02		1.0			1.0 
crete4_flr03        detail/cir_floor04			1.0			1.0 
drkmtlt_bord11      detail/dt_metal1 			1.0			1.0
duct_flr02   		detail/duct_flr02			1.0			1.0   
