// Detail txtures for doublefrost
// Detail texture project for Cold Ice Remastered
// Napoleon was here at some undisclosed time, 2023

// [texture name]	[detail texture name]		[hscale]	[vscale]

// 132 textures 

!cir_water01		detail/!WATERBLUE 			1.0			1.0	
+0button1           detail/button1 				1.0			1.0 
+0button2           detail/button1 				1.0			1.0	 
+0button4   		detail/+0button4			1.0			1.0
+0lab1_comp10c		detail/dt_metal1 			1.0			1.0	
+0lab1_comp10e		detail/dt_metal1 			1.0			1.0	
+0lab1_comp9a2		detail/dt_metal1 			1.0			1.0	
+0medkit			detail/dt_metal1 			1.0			1.0	
+0recharge			detail/dt_metal1 			1.0			1.0	
+0~c2a4_cmp1   		detail/+0~C2A4_CMP1			1.0			1.0
+0~fifts_lght3		detail/+0~fifts_lght3		1.0			1.0
+0~fifts_lght5		detail/+0~fifts_lght3 		1.0			1.0 
+0~generic86		detail/crystallized1 		1.0			1.0 
+0~generic86b		detail/crystallized1 		1.0			1.0 
+0~generic86r		detail/crystallized1 		1.0			1.0 
+0~light4a			detail/crystallized1 		1.0			1.0 
+0~light5a			detail/crystallized1 		1.0			1.0 
+0~light6a			detail/crystallized1 		1.0			1.0 
+1lab1_comp10c		detail/dt_metal1 			1.0			1.0	
+1lab1_comp10e		detail/dt_metal1 			1.0			1.0	
+1lab1_comp9a2		detail/dt_metal1 			1.0			1.0	
+1~c2a4_cmp1		detail/+0~C2A4_CMP1			1.0			1.0
+2lab1_comp10c		detail/dt_metal1 			1.0			1.0	
+2lab1_comp10e		detail/dt_metal1 			1.0			1.0	
+2lab1_comp9a2		detail/dt_metal1 			1.0			1.0	
+abutton1     		detail/button1 				1.0			1.0   
+abutton2			detail/button1 				1.0			1.0 
+abutton4			detail/button4 				1.0			1.0 
+amedkit			detail/dt_metal1 			1.0			1.0	
+arecharge			detail/dt_metal1 			1.0			1.0	
+a~fifts_lght3		detail/+0~fifts_lght3		1.0			1.0
+a~fifts_lght5		detail/+0~fifts_lght3		1.0			1.0
+a~generic86		detail/crystallized1 		1.0			1.0 
+a~generic86b		detail/crystallized1 		1.0			1.0 
+a~generic86r		detail/crystallized1 		1.0			1.0 
+a~light4a			detail/crystallized1 		1.0			1.0 
+a~light5a			detail/crystallized1 		1.0			1.0 
+a~light6a			detail/crystallized1 		1.0			1.0 
-0c1a4_fuel			detail/dt_metal1 			1.0			1.0	
-0genpipe1			detail/dt_metal1 			1.0			1.0	
