// Detail txtures for frostfire
// Detail texture project for Cold Ice Remastered
// Napoleon was here at some undisclosed time, 2022

// [texture name]	[detail texture name]		[hscale]	[vscale]

!water2				detail/!WATERBLUE 			1.0			1.0    
+0button2           detail/button1 				1.0			1.0	 
+0button4   		detail/+0button4			1.0			1.0
+0lab1_comp10e      detail/+0lab1_comp10e		1.0			1.0 
+0lab1_w7           detail/+0lab1_w7			1.0			1.0 
+0medkit           	detail/dt_metal1 			1.0			1.0  
+0recharge          detail/dt_metal1 			1.0			1.0 
+0~c2a4_cmp1   		detail/+0~C2A4_CMP1			1.0			1.0
+0~fifties_lgt2     detail/+0~fifts_lght3		1.0			1.0 
+0~fifts_lght3      detail/+0~fifts_lght3		1.0			1.0 
+0~fifts_lght4      detail/+0~fifts_lght4		1.0			1.0
+0~fifts_lght5      detail/+0~fifts_lght3 		1.0			1.0 
+0~generic85   		detail/crystallized1 		1.0			1.0
+0~generic86        detail/crystallized1 		1.0			1.0 
+0~generic86b       detail/crystallized1 		1.0			1.0 
+0~generic86r       detail/crystallized1 		1.0			1.0 
+0~light4a          detail/crystallized1 		1.0			1.0 
+0~light5a   		detail/crystallized1 		1.0			1.0
+0~light6a          detail/crystallized1 		1.0			1.0 
+0~tnnl_lgt1        detail/+0~tnnl_lgt1			1.0			1.0
+0~tnnl_lgt3        detail/+0~tnnl_lgt1			1.0			1.0 
+0~tnnl_lgt4        detail/+0~tnnl_lgt4 		1.0			1.0
+0~white   			detail/crystallized1 		1.0			1.0
+1lab1_comp10e      detail/+0lab1_comp10e		1.0			1.0
+1~c2a4_cmp1        detail/+0~C2A4_CMP1			1.0			1.0
+2lab1_comp10e      detail/+0lab1_comp10e		1.0			1.0 
+abutton2           detail/button1 				1.0			1.0	 
+abutton4   		detail/+0button4			1.0			1.0
+alab1_w7           detail/+alab1_w7			1.0			1.0 
+amedkit            detail/dt_metal1 			1.0			1.0 
+arecharge          detail/dt_metal1 			1.0			1.0 
+a~fifties_lgt2     detail/+0~fifts_lght3		1.0			1.0  
+a~fifts_lght3   	detail/+0~fifts_lght3		1.0			1.0 
+a~fifts_lght4      detail/+0~fifts_lght4		1.0			1.0 
+a~fifts_lght5      detail/+0~fifts_lght3 		1.0			1.0 
+a~generic85        detail/crystallized1 		1.0			1.0 
+a~generic86        detail/crystallized1 		1.0			1.0 
+a~generic86b   	detail/crystallized1 		1.0			1.0
+a~generic86r       detail/crystallized1 		1.0			1.0
+a~light4a          detail/crystallized1 		1.0			1.0 
+a~light5a          detail/crystallized1 		1.0			1.0 
+a~light6a          detail/crystallized1 		1.0			1.0 
+a~tnnl_lgt1   		detail/+0~tnnl_lgt1			1.0			1.0
+a~tnnl_lgt3        detail/+0~tnnl_lgt1			1.0			1.0 
+a~tnnl_lgt4        detail/+0~tnnl_lgt4 		1.0			1.0
-0babtech_c5        detail/-1babtech_c5			1.0			1.0 
