// Detail txtures for frostmill
// Detail texture project for Cold Ice Remastered
// Created by GitHub Copilot, 2026

// [texture name]	[detail texture name]		[hscale]	[vscale]

{ladder1   			detail/{LADDER1				1.0			1.0
{rail1     			detail/dt_metal1			1.0			1.0
+0~fifts_lght01		detail/+0~fifts_lght01		1.0			1.0
+0medkit   			detail/dt_metal1			1.0			1.0
babtech_ceil01  	detail/babtech_ceil01		1.0			1.0
basetrim01      	detail/dt_metal1			1.0			1.0
black        		detail/black 				1.0			1.0
c1a0_wx         	detail/C1A0_WX				1.0			1.0
c1a3floor02     	detail/c1a3floor02			1.0			1.0
c1a3wall01      	detail/c1a3wall01			1.0			1.0
c1a3wall03      	detail/dt_metal1			1.0			1.0
c1a4_c1c        	detail/c1a4_c1c				1.0			1.0
c1a4tnnl1       	detail/C1A4TNNL1			1.0			1.0
c3a1_w3a        	detail/c3a1_w3a				1.0			1.0
c3a1_w5b        	detail/c3a1_w5b				1.0			1.0
c3a1_w5d        	detail/c3a1_w5d				1.0			1.0
c3a1b_w7        	detail/snow2				1.0			1.0
c3a2_telepad    	detail/c3a2_telepad			1.0			1.0
chromebar       	detail/dt_metal1			1.0			1.0
cir_earth01     	detail/cir_earth01			1.0			1.0
cir_floor04     	detail/cir_floor04			1.0			1.0
cir_snow01      	detail/snow2				1.0			1.0
cir_snow02      	detail/snow2				1.0			1.0
cir_stone01     	detail/cir_stone01			1.0			1.0
cir_wall07      	detail/cir_wall07			1.0			1.0
cir_wall09      	detail/cir_wall09			1.0			1.0
cir_wall10      	detail/cir_wall10			1.0			1.0
crate09b        	detail/crate09b				1.0			1.0
crete3_flr04    	detail/crete3_flr04			1.0			1.0
generic_111c    	detail/generic_111c			1.0			1.0
generic012      	detail/generic012			1.0			1.0
generic95c      	detail/generic95c			1.0			1.0
lab1_stair1b    	detail/lab1_stair1b			1.0			1.0
medkitedge1     	detail/dt_metal1			1.0			1.0
out_gravel      	detail/out_gravel			1.0			1.0
out_grnd2       	detail/out_grnd2			1.0			1.0
out_pave2       	detail/out_pave2			1.0			1.0
out_wall2c      	detail/out_wall2c			1.0			1.0
out_wall3a      	detail/out_wall3a			1.0			1.0
out_wall7f      	detail/out_wall7f			1.0			1.0
pfab_vent2      	detail/pfab_vent2			1.0			1.0
silo2_brd1a     	detail/dt_metal1			1.0			1.0
silo2_cor2      	detail/silo2_cor2			1.0			1.0
silo2_p2        	detail/silo2_p2				1.0			1.0
sky             	detail/SKY					1.0			1.0
stripes2        	detail/stripes2				1.0			1.0
tnnl_flr12a     	detail/tnnl_flr12a			1.0			1.0
tnnl_swr1       	detail/tnnl_swr1			1.0			1.0
