// Detail txtures for frozen_bunker
// Detail texture project for Cold Ice Remastered
// Napoleon was here at some undisclosed time, 2023

// [texture name]	[detail texture name]		[hscale]	[vscale]

// 163 textures 

!cir_water01		detail/!WATERBLUE 			1.0			1.0	
+0lab1_w7			detail/+0lab1_w7			1.0			1.0 
+0medkit			detail/dt_metal1 			1.0			1.0
+0recharge			detail/dt_metal1 			1.0			1.0
+0~c2a4_cmp1		detail/+0~C2A4_CMP1			1.0			1.0
+0~fifties_lgt2		detail/+0~fifts_lght3		1.0			1.0
+0~fifts_lght5		detail/+0~fifts_lght3 		1.0			1.0 
+0~fuse				detail/dt_metal1 			1.0			1.0
+0~generic85		detail/crystallized1 		1.0			1.0
+0~generic86b		detail/crystallized1 		1.0			1.0
+0~light1			detail/dt_metal1 			1.0			1.0
+0~light5a			detail/crystallized1 		1.0			1.0
+0~metalstch2		detail/dt_metal1 			1.0			1.0
+0~tnnl_lgt1		detail/+0~tnnl_lgt1			1.0			1.0
+0~tnnl_lgt2		detail/+0~tnnl_lgt2			1.0			1.0   
+0~tnnl_lgt3		detail/+0~tnnl_lgt1			1.0			1.0
+0~tnnl_lgt4		detail/+0~tnnl_lgt2			1.0			1.0   
+0~white			detail/dt_metal1 			1.0			1.0
+1~c2a4_cmp1		detail/+0~C2A4_CMP1			1.0			1.0
+alab1_w7			detail/+alab1_w7			1.0			1.0 
+amedkit			detail/dt_metal1 			1.0			1.0
+arecharge			detail/dt_metal1 			1.0			1.0
+a~fifties_lgt2		detail/+0~fifts_lght3		1.0			1.0
+a~fifts_lght5		detail/+0~fifts_lght3 		1.0			1.0 
+a~fuse				detail/dt_metal1 			1.0			1.0
+a~generic85		detail/crystallized1 		1.0			1.0
+a~generic86b		detail/crystallized1 		1.0			1.0
+a~light1			detail/dt_metal1 			1.0			1.0
+a~light5a			detail/crystallized1 		1.0			1.0
+a~metalstch2		detail/dt_metal1 			1.0			1.0
+a~tnnl_lgt1		detail/+0~tnnl_lgt1			1.0			1.0
+a~tnnl_lgt2		detail/+0~tnnl_lgt2			1.0			1.0   
+a~tnnl_lgt3		detail/+0~tnnl_lgt1			1.0			1.0
+a~tnnl_lgt4		detail/+0~tnnl_lgt2			1.0			1.0   
ammo01				detail/dt_metal1 			1.0			1.0
ammo02				detail/dt_metal1 			1.0			1.0
ammo03				detail/dt_metal1 			1.0			1.0
ammo04				detail/dt_metal1 			1.0			1.0
babtech_ceil01		detail/babtech_ceil01		1.0			1.0 
basetrim01			detail/dt_metal1 			1.0			1.0
black				detail/dt_metal1 			1.0			1.0
c1a3wall07			detail/dt_metal1 			1.0			1.0
c1a4b_w1			detail/c1a4b_w1				1.0			1.0 
c1a4_oxy3			detail/dt_metal1 			1.0			1.0
c3a1_nrc2b			detail/wall_generic			1.0			1.0
c3a1_w1				detail/c3a1_w1				1.0			1.0 
c3a1_w5a			detail/c3a1_w5a				1.0			1.0
c3a1_w5b			detail/c3a1_w5b				1.0			1.0 
c3a2a_tnk1			detail/dt_metal1 			1.0			1.0
c3a2a_w1j			detail/dt_metal1 			1.0			1.0
chromebar			detail/dt_metal1 			1.0			1.0
cir_brick04			detail/brickwall034a		1.0			1.0
cir_brick08			detail/brickwall034a		1.0			1.0 
cir_brick09			detail/cir_brick09			1.0			1.0
cir_crate13			detail/crate02				1.0			1.0 
cir_crate14			detail/crate02				1.0			1.0 
cir_crate17			detail/crate10_stalkyard	1.0			1.0 
cir_crate18			detail/crate10_stalkyard    1.0			1.0  
cir_crate31			detail/dt_metal1			1.0			1.0
