// Detail txtures for snow_camp
// Detail texture project for Cold Ice Remastered
// Napoleon was here at some undisclosed time, 2022

// [texture name]	[detail texture name]		[hscale]	[vscale]

!cir_water01      	detail/!WATERBLUE 			1.0			1.0
+0medkit			detail/dt_metal1 			1.0			1.0	            
+0recharge			detail/dt_metal1 			1.0			1.0	  
+0~fifties_lgt2		detail/+0~fifts_lght3		1.0			1.0         
+0~fifts_lght5    	detail/+0~fifts_lght3 		1.0			1.0
+0~generic85      	detail/crystallized1 		1.0			1.0
+0~generic86b     	detail/crystallized1 		1.0			1.0
+amedkit			detail/dt_metal1 			1.0			1.0	  
+arecharge			detail/dt_metal1 			1.0			1.0	          
+a~fifties_lgt2		detail/+0~fifts_lght3		1.0			1.0         
+a~fifts_lght5    	detail/+0~fifts_lght3 		1.0			1.0
+a~generic85      	detail/crystallized1 		1.0			1.0
+a~generic86b		detail/crystallized1 		1.0			1.0
-0babtech_c5      	detail/-1babtech_c5			1.0			1.0
-0fifties_case    	detail/fifties_case			1.0			1.0
-0silo2_c1        	detail/silo2_c1				1.0			1.0
-0tnnl_w13a       	detail/tnnl_w13a			1.0			1.0
-1babtech_c5		detail/-1babtech_c5			1.0			1.0 
-1fifties_case    	detail/fifties_case			1.0			1.0
-1silo2_c1        	detail/silo2_c1				1.0			1.0
-1tnnl_w13a       	detail/tnnl_w13a			1.0			1.0
-2babtech_c5      	detail/-1babtech_c5			1.0			1.0 
-2fifties_case		detail/fifties_case			1.0			1.0
-2silo2_c1        	detail/silo2_c1				1.0			1.0
-2tnnl_w13a       	detail/tnnl_w13a			1.0			1.0
-3babtech_c5      	detail/-1babtech_c5			1.0			1.0 
-3silo2_c1        	detail/silo2_c1				1.0			1.0
babtech_ceil01		detail/babtech_ceil01		1.0			1.0
babtech_dr1c      	detail/dt_metal1 			1.0			1.0 
babtech_wall01a   	detail/babtech_wall01a		1.0			1.0
babtech_wall03    	detail/c2a1_w1				1.0			1.0
black             	detail/black 				1.0			1.0 
c1a3floor02			detail/c1a3floor02			1.0			1.0
c1a3wall03        	detail/c1a3wall03			1.0			1.0
c1a3wall08        	detail/c1a3wall08			1.0			1.0
c1a4b_w1          	detail/c1a4b_w1				1.0			1.0
c1a4b_w3          	detail/c1a4b_w3				1.0			1.0
c1a4b_w3b			detail/C1A4B_W3B 			1.0 		1.0
c1a4i_c1a         	detail/dt_metal1 			1.0			1.0
c1a4i_w1a         	detail/c1a4i_w1a			1.0			1.0
c1a4i_w1b         	detail/c1a4i_w1b 			1.0			1.0
c1a4i_w1c         	detail/c1a4i_w1c			1.0			1.0
c1a4_c1c			detail/c1a4_c1c				1.0			1.0
c1a4_silo2b       	detail/c1a4_silo2b			1.0			1.0 
c3a1_w3b          	detail/c3a1_w3b				1.0			1.0
c3a1_w5a          	detail/c3a1_w5a				1.0			1.0
c3a1_w5d          	detail/c3a1_w5d				1.0			1.0
c3a2a_tnk1			detail/c3a2a_tnk1			1.0			1.0
c3a2a_w1          	detail/c3a2a_w1				1.0			1.0
c3a2a_w1j         	detail/c3a2a_w1j			1.0			1.0
c3a2_dr1          	detail/c3a2_dr1				1.0			1.0
cir_brick05       	detail/brickwall034a       	1.0			1.0
cir_brick09			detail/cir_brick09			1.0			1.0
cir_brick12       	detail/brickwall034a		1.0			1.0
cir_brick15       	detail/brickwall034a		1.0			1.0
cir_brick16       	detail/wall					1.0			1.0 
cir_brick17       	detail/wall      			1.0			1.0
cir_crate10			detail/cir_crate16a			1.0			1.0
cir_crate11       	detail/cir_crate16			1.0			1.0 
cir_crate13       	detail/crate02				1.0			1.0 
cir_crate14       	detail/crate02				1.0			1.0
cir_crate15       	detail/cir_crate15			1.0			1.0
cir_crate16			detail/crate_01				1.0			1.0
