// Detail txtures for snowcross
// Detail texture project for Cold Ice Remastered
// Napoleon was here at some undisclosed time, 2022

// [texture name]	[detail texture name]		[hscale]	[vscale]

+0button1			detail/button1 				1.0			1.0	      
+0button2			detail/button1 				1.0			1.0	       
+0lab1_comp10e		detail/+0lab1_comp10e		1.0			1.0
//+0medkit			detail/+0medkit 			1.0			1.0	  
//+0recharge		detail/+0recharge 			1.0			1.0	 
+0medkit			detail/dt_metal1 			1.0			1.0	  
+0recharge			detail/dt_metal1 			1.0			1.0	   
+0~c2a4_cmp1    	detail/+0~C2A4_CMP1			1.0			1.0
+0~fifts_lght3  	detail/+0~fifts_lght3 		1.0			1.0
+0~fifts_lght5  	detail/+0~fifts_lght3 		1.0			1.0
+0~generic85   		detail/crystallized1 		1.0			1.0
+0~generic86r  		detail/crystallized1 		1.0			1.0
+0~light4a  		detail/crystallized1		1.0			1.0     
+1lab1_comp10e		detail/+0lab1_comp10e		1.0			1.0 
+1~c2a4_cmp1		detail/+0~C2A4_CMP1			1.0			1.0
+2lab1_comp10e		detail/+0lab1_comp10e		1.0			1.0  
+abutton1			detail/button1 				1.0			1.0	      
+abutton2			detail/button1 				1.0			1.0	     
//+amedkit			detail/+amedkit 			1.0			1.0	      
//+arecharge		detail/+arecharge 			1.0			1.0	
+amedkit			detail/dt_metal1 			1.0			1.0	      
+arecharge			detail/dt_metal1 			1.0			1.0	
+a~fifts_lght3   	detail/+0~fifts_lght3 		1.0			1.0
+a~fifts_lght5  	detail/+0~fifts_lght3 		1.0			1.0
+a~generic85  		detail/crystallized1 		1.0			1.0   
+a~generic86r  		detail/crystallized1 		1.0			1.0 
+a~light4a			detail/crystallized1		1.0			1.0  
-0crete2_flr04 		detail/-0crete2_flr04 		1.0			1.0
-0fifties_w12  		detail/-0fifties_w12b 		0.5			0.5
-0out_w3     		detail/-0out_w3				1.0			1.0
-1crete2_flr04		detail/-0crete2_flr04		1.0			1.0
-1fifties_w12		detail/-2fifties_w12		0.5			0.5
-1out_w3     		detail/-0out_w3				1.0			1.0
-2crete2_flr04 		detail/-0crete2_flr04		1.0			1.0
-2fifties_w12		detail/-2fifties_w12		0.5			0.5
-3crete2_flr04		detail/-0crete2_flr04		1.0			1.0
babtech_ceil01		detail/babtech_ceil01		1.0			1.0
baseflr01      		detail/baseflr01			1.0			1.0
black        		detail/BLACK 				1.0			1.0  
