// Detail txtures for storm
// Detail texture project for Cold Ice Remastered
// Created by GitHub Copilot, 2026

// [texture name]	[detail texture name]		[hscale]	[vscale]
-0out_crt2a         	detail/-0out_crt2a             	1.0			1.0
{rail1              	detail/{RAIL1                  	1.0			1.0
black               	detail/black                   	1.0			1.0
c1a0_wx             	detail/C1A0_WX                 	1.0			1.0
cir_crate03         	detail/cir_crate03             	1.0			1.0
cir_crate04         	detail/cir_crate04             	1.0			1.0
cir_crate15         	detail/cir_crate15             	1.0			1.0
cir_crate16         	detail/cir_crate16             	1.0			1.0
cir_crate21         	detail/cir_crate21             	1.0			1.0
cir_dirt04          	detail/cir_dirt04              	1.0			1.0
cir_floor04         	detail/cir_floor04             	1.0			1.0
cir_rock11          	detail/stone3                  	1.0			1.0
cir_rock15          	detail/stone3                  	1.0			1.0
cir_snow01          	detail/snow2                   	1.0			1.0
cir_snow02          	detail/snow2                   	1.0			1.0
cir_snow04          	detail/snow2                   	1.0			1.0
cir_wall07          	detail/cir_wall07              	1.0			1.0
lab1_stair2b        	detail/lab1_stair2b            	1.0			1.0
lab1_trim3          	detail/lab1_trim3              	1.0			1.0
lab1_w8ceil1        	detail/lab1_w8ceil1            	1.0			1.0
sky                 	detail/SKY                     	1.0			1.0
stripes2            	detail/stripes2                	1.0			1.0
stripes4            	detail/stripes4                	1.0			1.0
table               	detail/table                   	1.0			1.0

// Auto-filled high-confidence mappings
cir_brick13             detail/brickwall034a         1.0			1.0
cir_brick14             detail/brickwall034a         1.0			1.0
cir_brick15             detail/brickwall034a         1.0			1.0
cir_crate01             detail/crate21d              1.0			1.0
cir_crate05             detail/c3a1_crate3           1.0			1.0
cir_crate06             detail/c3a1_crate3           1.0			1.0
cir_crate08             detail/cir_crate04           1.0			1.0
cir_crate10             detail/cir_crate16a          1.0			1.0
cir_crate11             detail/cir_crate16           1.0			1.0
cir_crate13             detail/crate02               1.0			1.0
cir_crate14             detail/crate02               1.0			1.0
cir_crate24             detail/crate10_stalkyard     1.0			1.0
cir_crate25             detail/crate10_stalkyard     1.0			1.0
cir_crate26             detail/crate10_stalkyard     1.0			1.0
cir_floor03             detail/c1a1_flr2b            1.0			1.0
cir_rock03              detail/cir_rocks08           1.0			1.0
cir_wall01              detail/cir_wall09            1.0			1.0
cir_wall04              detail/cir_wall10            1.0			1.0
cir_wall05              detail/cir_wall10            1.0			1.0
cir_wall06              detail/cir_wall09            1.0			1.0
cir_wall15              detail/wall_generic2         1.0			1.0
