// Detail txtures for thetemple
// Detail texture project for Cold Ice Remastered
// Created by GitHub Copilot, 2026

// [texture name]	[detail texture name]		[hscale]	[vscale]
+0~light1           	detail/+0~light1               	1.0			1.0
+0~light4a          	detail/crystallized1           	1.0			1.0
babtech_ceil01      	detail/babtech_ceil01          	1.0			1.0
black               	detail/black                   	1.0			1.0
c1a0_wx             	detail/C1A0_WX                 	1.0			1.0
cir_crate15         	detail/cir_crate15             	1.0			1.0
cir_crate16         	detail/cir_crate16             	1.0			1.0
cir_crate21         	detail/cir_crate21             	1.0			1.0
cir_floor04         	detail/cir_floor04             	1.0			1.0
cir_rock11          	detail/stone3                  	1.0			1.0
cir_snow01          	detail/snow2                   	1.0			1.0
cir_snow02          	detail/snow2                   	1.0			1.0
cir_stone01         	detail/cir_stone01             	1.0			1.0
cir_wall07          	detail/cir_wall07              	1.0			1.0
lab1_stair2b        	detail/lab1_stair2b            	1.0			1.0
out_pav3            	detail/out_pav3                	1.0			1.0
out_pave2           	detail/out_pave2               	1.0			1.0
sky                 	detail/SKY                     	1.0			1.0

// Auto-filled high-confidence mappings
+0~light5a              detail/crystallized1         1.0			1.0
~light3b                detail/light3b               1.0			1.0
cir_brick05             detail/brickwall034a         1.0			1.0
cir_brick07             detail/crete3_wall01         1.0			1.0
cir_crate04             detail/cir_crate04           1.0			1.0
cir_crate05             detail/c3a1_crate3           1.0			1.0
cir_crate06             detail/c3a1_crate3           1.0			1.0
cir_crate07             detail/cir_crate04           1.0			1.0
cir_crate10             detail/cir_crate16a          1.0			1.0
cir_crate11             detail/cir_crate16           1.0			1.0
cir_crate13             detail/crate02               1.0			1.0
cir_crate14             detail/crate02               1.0			1.0
cir_pavement02          detail/wall_generic          1.0			1.0
cir_wall04              detail/cir_wall10            1.0			1.0
cir_wall06              detail/cir_wall09            1.0			1.0
