// Detail txtures for training
// Detail texture project for Cold Ice Remastered
// Napoleon was here at some undisclosed time, 2022

// [texture name]	[detail texture name]		[hscale]	[vscale]

!c2a5               detail/!WATERBLUE 			1.0			1.0	
!waterblue          detail/!WATERBLUE 			1.0			1.0	 
+0medkit			detail/dt_metal1 			1.0			1.0       
+0recharge			detail/dt_metal1 			1.0			1.0               
+0~fifties_lgt2		detail/+0~fifts_lght3		1.0			1.0       
+0~fifts_lght06   	detail/+0~fifts_lght4		1.0			1.0    
+0~light3a          detail/crystallized1 		1.0			1.0 
+amedkit			detail/dt_metal1 			1.0			1.0       
+arecharge			detail/dt_metal1 			1.0			1.0               
+a~fifties_lgt2		detail/+0~fifts_lght3		1.0			1.0       
+a~fifts_lght06  	detail/+0~fifts_lght4		1.0			1.0     
+a~light3a          detail/crystallized1 		1.0			1.0  
-0babtech_flr10		detail/silo2_wetdr 			1.0			1.0     
-1babtech_flr10		detail/silo2_wetdr 			1.0			1.0        
-2babtech_flr10		detail/silo2_wetdr 			1.0			1.0        
-3babtech_flr10		detail/silo2_wetdr 			1.0			1.0        
babtech_ceil01      detail/silo2_wetdr 			1.0			1.0  
babtech_dr1c    	detail/silo2_wetdr 			1.0			1.0
babtech_dr4c        detail/silo2_wetdr 			1.0			1.0  
babtech_wall03      detail/c2a1_w1				1.0			1.0
black         		detail/BLACK 				1.0			1.0                 
c1a1w1d             detail/wall_generic			1.0			1.0
c1a1_bktb    		detail/wall_generic			1.0			1.0
c1a1_flr1			detail/c1a1_flr1			1.0			1.0             
c3a1_nrc2b          detail/wall_generic			1.0			1.0  
cardbox1     		detail/cardbox1				1.0			1.0         
cardbox4       		detail/cardbox4				1.0			1.0       
cardboxbot1    		detail/cardboxbot1			1.0			1.0
cardboxtop1   		detail/cardboxtop1			1.0			1.0        
cardboxtop2         detail/cardboxtop2 			1.0			1.0  
chromebar    		detail/chromebar			1.0			1.0         
crate02             detail/crate02				1.0			1.0  
crate02b    		detail/crate02b				1.0			1.0
crate09             detail/crate09				1.0			1.0  
crate09b            detail/crate09b				1.0			1.0  
crate09c            detail/crate09c 			1.0			1.0  
crate10             detail/crate10_stalkyard	1.0			1.0  
crate11    			detail/crate11_stalkyard	1.0			1.0
crate13             detail/crate13_stalkyard  	1.0			1.0
crete4_flr01      	detail/crete4_flr01			1.0			1.0   
drkmtlt_bord08		detail/dt_metal1 			1.0			1.0          
drkmtlt_bord11		detail/dt_metal1 			1.0			1.0          
fifties_cch1    	detail/fifties_cch1			1.0			1.0
fifties_cch2        detail/fifties_cch2  		1.0			1.0
fifties_cch3        detail/fifties_cch3			1.0			1.0
fifties_cch4        detail/fifties_cch4  		1.0			1.0
fifties_ceil01      detail/fifties_ceil01		1.0			1.0  
fifties_cmp1c    	detail/fifties_cmp1c		1.0			1.0
fifties_dr6a        detail/fifties_dr6a			1.0			1.0  
fifties_dsk5a       detail/dt_metal1 			1.0			1.0  
fifties_flr03       detail/fifties_flr03		1.0			1.0  
fifties_wall12     	detail/fifties_wall12   	1.0			1.0
fifties_wall14a    	detail/dt_metal1	 		1.0			1.0	
//fifties_wall14t     detail/fifties_wall14t  	1.0			1.0
fifties_wall14t     detail/mosaiq			  	1.0			1.0
fifties_wall14x     detail/dt_metal1		  	1.0			1.0
fifties_wall14y     detail/fifties_wall14y   	1.0			1.0
freezer_bx7    		detail/freezer_bx7			1.0			1.0       
freezer_bx9 		detail/freezer_bx9			1.0			1.0   
generic028          detail/dt_metal1			1.0			1.0    
generic106          detail/dt_metal1			1.0			1.0    
generic106a         detail/generic106a 			1.0			1.0
generic106b         detail/generic106b  		1.0			1.0
generic108a    		detail/dt_metal1  			1.0			1.0
generic71           detail/dt_metal1  			1.0			1.0
